Order_ID,Order_Date,Customer,Category,Sub_Category,Sales,Profit,Quantity,Discount,Region,Old_System_Code
ORD-0001,2023-01-01,Diana,,Paper,2371.1,-371.01,16,,south,
ORD-0002,2023-01-02,,,CHAIRS,3034.45,1174.79,4,0.3,North,
ORD-0003,2023-01-03,Charlie,Electronics,phones,3973.5,-389.59,6,0.0,West,
ORD-0004,2023-01-04,,,CHAIRS,542.43,970.66,3,0.1,North,
ORD-0005,2023-01-05,,office supplies,Paper,4255.13,1998.38,9,0.0,West ,
ORD-0006,2023-01-06,Bob,Technology,Paper,3732.41,889.52,10,0.1,East,
ORD-0007,2023-01-07,Charlie,Electronics,CHAIRS,2048.51,683.03,14,0.1,East,
ORD-0008,2023-01-08,Charlie,Technology,Phones,4665.36,282.14,11,0.0,south,
ORD-0009,2023-01-09,Charlie,,Chairs,4954.74,-198.69,18,,EAST,
ORD-0010,2023-01-10,,,Phones,1032.96,1327.56,12,0.1,North,
ORD-0011,2023-01-11,Diana,Electronics,Phones,,-18.5,12,0.0,EAST,
ORD-0012,2023-01-12,Charlie,office supplies,Phones,,-211.79,13,0.1,south,
ORD-0013,2023-01-13,,Furniture,phones,,554.41,13,0.2,East,
ORD-0014,2023-01-14,Bob,Electronics,Paper,,1488.35,19,,EAST,
ORD-0015,2023-01-15,Diana,Furniture,Phones,,1362.66,19,0.3,EAST,
ORD-0016,2023-01-16,Bob,Furniture,Paper,,-362.79,14,0.1,East,
ORD-0017,2023-01-17,Diana,office supplies,CHAIRS,,637.86,4,0.2,North,
ORD-0018,2023-01-18,,Furniture,Chairs,,806.09,13,0.3,East,
ORD-0019,2023-01-19,Alice,Furniture,CHAIRS,,1111.37,8,0.3,EAST,
ORD-0020,2023-01-20,Diana,office supplies,CHAIRS,,1125.42,19,0.1,North,
ORD-0021,2023-01-21,Bob,Furniture,phones,,411.74,12,0.0,North,
ORD-0022,2023-01-22,,Furniture,Chairs,,901.69,18,0.1,East,
ORD-0023,2023-01-23,Diana,Furniture,CHAIRS,,702.65,6,0.2,EAST,
ORD-0024,2023-01-24,Alice,Electronics,CHAIRS,,1712.5,18,0.3,south,
ORD-0025,2023-01-25,Alice,Electronics,Chairs,,825.66,19,0.1,EAST,
ORD-0026,2023-01-26,Charlie,Electronics,Chairs,,602.58,5,0.0,West,
ORD-0027,2023-01-27,Charlie,office supplies,CHAIRS,2265.22,511.21,9,0.1,West ,
ORD-0028,2023-01-28,Bob,,Chairs,3571.77,931.07,3,,south,
ORD-0029,2023-01-29,Diana,Furniture,CHAIRS,4499.34,1509.94,10,0.0,North,
ORD-0030,2023-01-30,Diana,Furniture,CHAIRS,3124.27,846.0,19,0.2,south,
ORD-0031,2023-01-31,Charlie,office supplies,phones,2703.51,1154.14,3,0.3,North,
ORD-0032,2023-02-01,Diana,Furniture,Phones,2199.34,1344.64,15,0.1,North,
ORD-0033,2023-02-02,Diana,Electronics,CHAIRS,2891.66,800.42,1,0.0,south,
ORD-0034,2023-02-03,Alice,,Paper,1783.26,567.04,7,,North,
ORD-0035,2023-02-04,Charlie,Technology,Phones,1963.5,1691.66,12,0.0,North,
ORD-0036,2023-02-05,,Furniture,Phones,2663.97,543.77,17,,West,
ORD-0037,2023-02-06,Charlie,Electronics,Phones,342.43,654.86,5,0.2,EAST,
ORD-0038,2023-02-07,,Technology,phones,1152.84,1975.85,4,0.3,EAST,
ORD-0039,2023-02-08,Alice,,CHAIRS,2718.82,-499.41,12,0.2,West ,
ORD-0040,2023-02-09,Bob,Technology,phones,2163.33,-36.32,18,0.1,West ,
ORD-0041,2023-02-10,Diana,Electronics,CHAIRS,1670.75,,17,0.0,West,
ORD-0042,2023-02-11,Alice,Technology,phones,3655.44,,19,,West ,
ORD-0043,2023-02-12,Diana,office supplies,phones,3471.65,,9,,south,
ORD-0044,2023-02-13,Bob,Technology,Paper,841.99,,4,0.0,East,
ORD-0045,2023-02-14,Bob,Furniture,phones,4394.36,,2,0.0,East,
